LTK L4210S (1x V100S-PCIE-32GB, TensorRT)	V100S-PCIE-32GBx1_TRT	LTechKorea	closed	datacenter	available	1	Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz	2	56					768 GB	8 TB	SSD			1	NVIDIA V100S					32 GB	HBM2				TensorRT 7.2.3, CUDA 11.1	Ubuntu 18.04.4	TensorRT 7.2.3, CUDA 11.1, cuDNN 8.1.1, Driver 460.32.03, DALI 0.30.0															
LTK L4210S (8x V100S-PCIE-32GB, TensorRT)	V100S-PCIE-32GBx8_TRT	LTechKorea	closed	datacenter	available	1	Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz	2	56					768 GB	8 TB	SSD			8	NVIDIA V100S					32 GB	HBM2				TensorRT 7.2.3, CUDA 11.1	Ubuntu 18.04.4	TensorRT 7.2.3, CUDA 11.1, cuDNN 8.1.1, Driver 460.32.03, DALI 0.30.0															
